timestamp,dMax,dMin,dRange
00000,0.9883586,0.0,0.9883586
01141,0.9607143,-5.3997104e-33,0.9607143
02286,0.95367473,-6.8114274e-30,0.95367473
03429,0.96449935,-4.263739e-30,0.96449935
04566,0.9660174,-4.8624175e-30,0.9660174
05700,0.9647461,-8.8238504e-30,0.9647461
06817,0.9669457,-1.954519e-29,0.9669457
07920,0.96769994,-1.08026795e-29,0.96769994
08948,0.9711837,-1.2974617e-29,0.9711837
09782,0.9465946,-6.0625077e-30,0.9465946
10487,0.9485873,-4.349112e-30,0.9485873
11091,0.9410817,-4.5509943e-30,0.9410817
11642,0.94682115,-3.2278567e-30,0.94682115
12244,0.9557773,-1.3286437e-29,0.9557773
12818,0.9690244,-8.5657036e-30,0.9690244
13306,0.97944695,-9.4362375e-30,0.97944695
13751,0.967556,-9.046377e-30,0.967556
14156,0.9710046,-7.206432e-30,0.9710046
14509,0.968895,-3.0411448e-29,0.968895
14854,0.9667953,-4.356575e-28,0.9667953
15159,0.96693164,-7.470035e-29,0.96693164
15422,0.9844373,-5.5498974e-28,0.9844373
15674,0.9815455,-1.8263592e-28,0.9815455
15905,0.98129255,-1.4876363e-29,0.98129255
16118,0.9731752,-1.5327188e-29,0.9731752
16317,0.97810304,-2.7125195e-28,0.97810304
16514,0.98186,-2.4372528e-28,0.98186
16709,0.97440326,-9.3836235e-30,0.97440326
16898,0.98319775,-5.9151766e-29,0.98319775
17079,0.9733747,-6.813105e-29,0.9733747
17260,0.95984787,-6.586555e-28,0.95984787
17432,0.9758385,-1.465465e-29,0.9758385
17602,0.97382826,-6.3482136e-29,0.97382826
17777,0.9754684,-4.893298e-30,0.9754684
17954,0.9758834,-9.741722e-30,0.9758834
18124,0.9787304,-3.9675214e-28,0.9787304
18278,0.9783611,-5.3632597e-30,0.9783611
18432,0.9779504,-5.9564763e-30,0.9779504
18592,0.9756441,-1.4678593e-28,0.9756441
18741,0.9728605,-4.486007e-29,0.9728605
18883,0.9716467,-3.033869e-27,0.9716467
19021,0.9766647,-7.5083173e-29,0.9766647
19159,0.97207236,-1.5654452e-27,0.97207236
19304,0.9846408,-6.0126305e-28,0.9846408
19450,0.9796342,-8.186263e-30,0.9796342
19599,0.97984594,-6.8251206e-28,0.97984594
19749,0.9897397,-1.6554414e-29,0.9897397
19902,0.9854011,-2.591993e-28,0.9854011
20060,0.9934148,-3.1132203e-27,0.9934148
20221,0.9953318,-7.080413e-27,0.9953318
20384,0.9828625,-1.1478997e-25,0.9828625
20550,0.9951483,-1.8319951e-24,0.9951483
20721,0.9972684,-5.1905666e-29,0.9972684
20894,0.99814194,-1.8018554e-29,0.99814194
21073,0.9962594,-7.270365e-28,0.9962594
21255,0.9972541,-2.178889e-29,0.9972541
21441,0.997896,-2.9881753e-30,0.997896
21630,0.9984205,-2.0026442e-29,0.9984205
21820,0.9982459,-1.0572695e-27,0.9982459
22010,0.9984088,-5.3309906e-30,0.9984088
22198,0.998186,-5.877414e-29,0.998186
22388,0.9982505,-5.1450064e-30,0.9982505
22578,0.9982438,-3.6915705e-29,0.9982438
22769,0.99816096,-2.0152735e-29,0.99816096
22960,0.99838936,-1.4689203e-29,0.99838936
23151,0.9984391,-3.8345602e-29,0.9984391
23341,0.9983975,-6.6151866e-29,0.9983975
23530,0.99842584,-1.3665407e-28,0.99842584
23719,0.9984167,-4.8446614e-28,0.9984167
23907,0.99843484,-2.5693082e-27,0.99843484
24095,0.9984096,-1.4483761e-28,0.9984096
24282,0.99842876,-1.4531063e-28,0.99842876
24466,0.99842423,-1.3692241e-28,0.99842423
24647,0.99837685,-1.2096192e-28,0.99837685
24826,0.99837667,-1.0022962e-28,0.99837667
25004,0.9984408,-5.3976686e-28,0.9984408
25176,0.9984386,-2.7851272e-27,0.9984386
25342,0.99847305,-3.11926e-28,0.99847305
25505,0.998448,-6.819497e-28,0.998448
25659,0.99849045,-2.3431232e-27,0.99849045
25809,0.9984747,-1.3956009e-27,0.9984747
25958,0.99850124,-2.3085835e-27,0.99850124
26103,0.9984775,-2.227914e-29,0.9984775
26248,0.9985099,-2.2651113e-29,0.9985099
26393,0.99849087,-2.6659938e-29,0.99849087
26538,0.99851614,-1.04777315e-29,0.99851614
26683,0.9985378,-1.08343385e-29,0.9985378
26829,0.9985844,-4.9033668e-29,0.9985844
26974,0.99852365,-1.9060038e-29,0.99852365
27119,0.99860895,-7.6844346e-29,0.99860895
27262,0.9985327,-3.2626808e-28,0.9985327
27405,0.99857086,-3.948276e-29,0.99857086
27547,0.99855787,-1.7369204e-29,0.99855787
27689,0.998536,-2.3267576e-29,0.998536
27830,0.9985715,-2.9864716e-29,0.9985715
27970,0.99854326,-8.218676e-29,0.99854326
28108,0.99855417,-1.0326799e-28,0.99855417
28245,0.9985349,-1.9034609e-27,0.9985349
28381,0.99858385,-1.7325106e-28,0.99858385
28516,0.99851567,-9.7203354e-30,0.99851567
28649,0.99827796,-2.337919e-29,0.99827796
28783,0.9985923,-7.365407e-30,0.9985923
28915,0.99868596,-1.3283506e-29,0.99868596
29047,0.9984099,-1.2784938e-29,0.9984099
29178,0.99866277,-1.1188861e-29,0.99866277
29308,0.99891376,-2.0838544e-29,0.99891376
29438,0.999005,-1.9833907e-29,0.999005
29566,0.99915904,-5.676198e-29,0.99915904
29693,0.9991501,-1.4237985e-28,0.9991501
