timestamp,dMax,dMin,dRange
33012,553678900.0,31636.266,553647300.0
33130,565346050.0,33413.85,565312640.0
33248,571355460.0,33472.555,571322000.0
33366,572002300.0,33352.906,571968960.0
33484,585677200.0,33428.7,585643800.0
33602,583968300.0,29204.379,583939140.0
33719,599609000.0,27457.848,599581600.0
33836,608505340.0,29699.309,608475650.0
33953,592098560.0,31552.566,592067000.0
34070,580820300.0,31121.031,580789200.0
34187,575854660.0,30669.805,575824000.0
34304,574046340.0,30200.992,574016100.0
34421,579216800.0,29735.88,579187000.0
34537,593707140.0,29281.59,593677800.0
34654,605249500.0,28833.68,605220600.0
34770,591991700.0,28406.498,591963260.0
34883,576315700.0,28006.865,576287700.0
34996,560682600.0,27576.969,560655040.0
35110,555325200.0,27096.11,555298100.0
35222,556100860.0,26629.17,556074240.0
35332,563935400.0,26204.129,563909250.0
35439,564894700.0,25839.139,564868860.0
35546,559242430.0,25475.441,559216960.0
35652,571123400.0,25140.238,571098240.0
35758,568393800.0,24724.164,568369100.0
35863,557753540.0,24289.658,557729200.0
35967,554674050.0,23943.885,554650100.0
36069,556580300.0,23664.955,556556600.0
36170,559397060.0,23344.973,559373700.0
36271,555434240.0,23059.908,555411200.0
36371,550719550.0,22826.695,550696700.0
36471,545912260.0,22627.77,545889600.0
36571,558269700.0,22455.332,558247230.0
36671,563988540.0,22329.32,563966200.0
36771,563621300.0,22243.951,563599040.0
36872,560738200.0,22162.053,560716000.0
36972,558196800.0,22083.889,558174700.0
37073,555089340.0,22045.44,555067300.0
37173,549546800.0,22018.871,549524800.0
37273,543326700.0,21949.342,543304770.0
37374,546351800.0,21700.715,546330100.0
37474,553143740.0,21525.008,553122240.0
37572,553465500.0,21241.781,553444200.0
37669,554226940.0,21023.246,554205950.0
37765,548795260.0,20870.922,548774400.0
37858,540980540.0,20698.467,540959900.0
37949,538481100.0,20456.635,538460600.0
38037,543408640.0,20367.805,543388300.0
38125,537875460.0,20292.514,537855170.0
38214,541638340.0,20021.76,541618300.0
38302,550669200.0,19688.297,550649500.0
38391,551611260.0,19321.8,551591940.0
38479,543867500.0,19404.95,543848100.0
38566,531939620.0,19378.875,531920220.0
38652,529195360.0,19407.916,529175970.0
38736,526630400.0,19432.582,526610980.0
38818,533744060.0,19427.26,533724640.0
38901,541555300.0,19476.227,541535900.0
38984,543797250.0,19435.523,543777800.0
39067,548225340.0,19920.04,548205440.0
39149,545335040.0,20175.705,545314900.0
39230,538583500.0,20263.107,538563200.0
39312,538125500.0,20230.08,538105300.0
39394,547676800.0,20172.283,547656640.0
39476,554827140.0,20167.652,554807000.0
39558,554023740.0,20232.873,554003500.0
39640,551250600.0,20339.637,551230300.0
39722,550877900.0,20422.111,550857500.0
39803,545651300.0,20465.988,545630850.0
39884,537746240.0,20488.494,537725760.0
39966,534945400.0,20511.975,534924900.0
40045,529686600.0,20548.879,529666050.0
40122,531439700.0,20594.826,531419100.0
40198,536962750.0,20638.373,536942140.0
40274,542783800.0,20677.129,542763140.0
40350,554678100.0,20715.598,554657340.0
